NCBI Gene ID	Ensembl gene ID
341392	ENSG00000215009
54988	ENSG00000183549
100421779	ENSG00000260762
142827	ENSG00000173124
84532	ENSG00000154930
55902	ENSG00000131069
79611	ENSG00000111058
58	ENSG00000143632
59	ENSG00000107796
100132116	ENSG00000180139
	
60	ENSG00000075624
345651	ENSG00000169067
643309	ENSG00000229145
62	ENSG00000213763
63	
64	ENSG00000286676
	
66	ENSG00000203413
67	ENSG00000185607
68	ENSG00000220267
69	ENSG00000266920
446207	
644220	ENSG00000188460
100462767	ENSG00000233125
389976	ENSG00000229001
391334	ENSG00000213857
100132223	ENSG00000241473
70	ENSG00000159251
399923	ENSG00000172900
71	ENSG00000184009
73	ENSG00000178631
74	ENSG00000229129
75	ENSG00000215388
648740	ENSG00000236085
78	
79	
80	
82	ENSG00000229349
83	ENSG00000231340
414754	ENSG00000229465
100418921	ENSG00000226642
100418920	ENSG00000241305
100418910	ENSG00000230581
100418951	ENSG00000259904
100418960	ENSG00000260298
283693	ENSG00000259315
100418924	ENSG00000218475
644160	ENSG00000237999
644961	ENSG00000241547
100131291	ENSG00000232672
100131953	ENSG00000271615
442097	ENSG00000230362
441783	ENSG00000226359
148709	ENSG00000234996
72	ENSG00000163017
	
	
	
	
86	ENSG00000136518
51412	ENSG00000077080
10881	ENSG00000187003
10880	ENSG00000148156
81569	ENSG00000117148
284382	ENSG00000181786
170487	ENSG00000288649
389120	ENSG00000234667
284325	ENSG00000188493
87	ENSG00000072110
161159	ENSG00000259062
88	ENSG00000077522
89	ENSG00000248746
81	ENSG00000130402
344978	ENSG00000213493
391026	ENSG00000214141
106480335	ENSG00000229890
10121	ENSG00000138107
100287074	ENSG00000233370
10120	ENSG00000115073
10097	ENSG00000138071
100421614	ENSG00000224334
284441	ENSG00000213985
10096	ENSG00000115091
101060091	
57180	ENSG00000133627
643050	ENSG00000270242
440888	ENSG00000226481
647156	ENSG00000260327
777774	ENSG00000249283
399746	ENSG00000227264
644773	ENSG00000280263
100289004	ENSG00000226444
653857	ENSG00000106526
100288580	
100129013	ENSG00000232267
100128020	ENSG00000242573
79913	ENSG00000101442
64431	ENSG00000075089
100421495	ENSG00000248915
93973	ENSG00000113812
55860	ENSG00000131966
139741	ENSG00000123165
100128268	ENSG00000235239
140625	ENSG00000169717
84517	ENSG00000184378
90	ENSG00000115170
91	ENSG00000135503
130399	ENSG00000123612
92	ENSG00000121989
93	ENSG00000114739
100128640	ENSG00000229589
94	ENSG00000139567
	
95	ENSG00000243989
	
91703	ENSG00000132744
97	ENSG00000119640
98	ENSG00000170634
	
	
	
	
	
100	ENSG00000196839
51816	ENSG00000093072
132612	ENSG00000164113
100422386	ENSG00000270367
100422407	ENSG00000267511
161931	ENSG00000140955
161823	ENSG00000168803
8759	ENSG00000229186
