gene_symbol,ensembl_gene_id,is_oncogene,is_tumor_suppressor,is_cosmic_tier_1
KMT2C,ENSG00000055609,False,True,True
MAP2K2,ENSG00000126934,True,False,True
MAP2K4,ENSG00000065559,False,True,True
MAPK1,ENSG00000100030,True,False,True
MDM2,ENSG00000135679,True,False,True
MDM4,ENSG00000198625,True,False,True
MITF,ENSG00000187098,True,True,True
MTOR,ENSG00000198793,True,False,True
MUTYH,ENSG00000132781,False,True,True
MYC,ENSG00000136997,True,False,True
MYCL,ENSG00000116990,True,False,True
MYCN,ENSG00000134323,True,False,True
NKX2-1,ENSG00000136352,True,False,True
NSD2,ENSG00000109685,True,False,True
NSD3,ENSG00000147548,False,False,True
NTRK1,ENSG00000198400,True,False,True
NTRK2,ENSG00000148053,True,False,True
NTRK3,ENSG00000140538,True,False,True
PALB2,ENSG00000083093,False,True,True
PDCD1LG2,ENSG00000197646,True,False,True
PDGFRB,ENSG00000113721,True,False,True
PHF6,ENSG00000156531,False,True,True
PIM1,ENSG00000137193,False,False,True
PRKAR1A,ENSG00000108946,False,False,True
RAD21,ENSG00000164754,False,True,True
RAF1,ENSG00000132155,True,False,True
RARA,ENSG00000131759,False,False,True
ROS1,ENSG00000047936,True,False,True
RUNX1,ENSG00000159216,False,True,True
SDHA,ENSG00000073578,False,True,True
SDHB,ENSG00000117118,False,True,True
SDHC,ENSG00000143252,False,True,True
SDHD,ENSG00000204370,False,True,True
SOX2,ENSG00000181449,True,False,True
SPEN,ENSG00000065526,False,True,True
SRC,ENSG00000197122,True,False,True
SRSF2,ENSG00000161547,False,False,True
STAT3,ENSG00000168610,True,False,True
SUFU,ENSG00000107882,False,True,True
SYK,ENSG00000165025,True,False,True
TENT5C,ENSG00000183508,False,True,True
TGFBR2,ENSG00000163513,False,True,True
TMPRSS2,ENSG00000184012,False,False,True
TNFRSF14,ENSG00000157873,False,True,True
TSC2,ENSG00000103197,False,True,True
XPO1,ENSG00000082898,True,False,True
AKT3,ENSG00000117020,True,False,False
ARAF,ENSG00000078061,True,False,False
ARID1B,ENSG00000049618,False,True,True
AURKA,ENSG00000087586,True,False,False
AURKB,ENSG00000178999,True,False,False
AXL,ENSG00000167601,True,False,False
BCL10,ENSG00000142867,False,True,True
BCORL1,ENSG00000085185,False,True,True
BCR,ENSG00000186716,True,False,True
BIRC3,ENSG00000023445,False,False,True
BLM,ENSG00000197299,False,True,True
BTG1,ENSG00000133639,False,True,True
CDK8,ENSG00000132964,True,False,False
CDKN2B,ENSG00000147883,False,True,False
CHEK1,ENSG00000149554,False,True,False
CRKL,ENSG00000099942,True,False,False
CYLD,ENSG00000083799,False,True,True
DOT1L,ENSG00000104885,True,False,False
EED,ENSG00000074266,False,True,False
EIF4A2,ENSG00000156976,True,False,True
EPHA3,ENSG00000044524,False,True,False
EPHB1,ENSG00000154928,True,True,False
