miRNA precursor/locus ID (miRBase),miRNA ID (miRBase),miRNA precursor/locus ID (MirGeneDB),oncogene (O)/tumor-suppressor (TS)
hsa-mir-23a,miR-23a,Hsa-Mir-23-P3,
hsa-mir-23b,miR-23b,Hsa-Mir-23-P2,
hsa-mir-24-1,miR-24,Hsa-Mir-24-P2,
hsa-mir-24-2,miR-24,Hsa-Mir-24-P3,
hsa-mir-25,miR-25,Hsa-Mir-92-P2d,O
hsa-mir-26a-1,miR-26a,Hsa-Mir-26-P1,TS
hsa-mir-26a-2,miR-26a,Hsa-Mir-26-P4,TS
hsa-mir-26b,miR-26b,Hsa-Mir-26-P2,
hsa-mir-27a,miR-27a,Hsa-Mir-27-P3,
hsa-mir-27b,miR-27b,Hsa-Mir-27-P2,
hsa-mir-28,miR-28,Hsa-Mir-28-P1,
hsa-mir-29a,miR-29a,Hsa-Mir-29-P2b,
hsa-mir-29b-1,miR-29b,Hsa-Mir-29-P1b-v1/2,
hsa-mir-29b-2,miR-29b,Hsa-Mir-29-P1d-v1/2,
hsa-mir-29c,miR-29c,Hsa-Mir-29-P2d,TS
hsa-mir-301a,miR-301a,Hsa-Mir-130-P2b,O
hsa-mir-30a,miR-30a,Hsa-Mir-30-P1b,TS
hsa-mir-30b,miR-30b,Hsa-Mir-30-P2a,
hsa-mir-30c-1,miR-30c,Hsa-Mir-30-P2d,TS
hsa-mir-30c-2,miR-30c,Hsa-Mir-30-P2b,TS
hsa-mir-30d,miR-30d,Hsa-Mir-30-P1a,
hsa-mir-30e,miR-30e,Hsa-Mir-30-P1d,
hsa-mir-31,miR-31,Hsa-Mir-31,
hsa-mir-32,miR-32,Hsa-Mir-32,
hsa-mir-320a,miR-320a,Hsa-Mir-320-P1,
hsa-mir-324,miR-324,Hsa-Mir-324,
hsa-mir-331,miR-331,Hsa-Mir-331,
hsa-mir-335,miR-335,Hsa-Mir-335,
hsa-mir-342,miR-342,Hsa-Mir-342,
hsa-mir-345,miR-345,Hsa-Mir-345,
